GeneA_HOG	GeneB_HOG
HOG0000552	HOG0011820
HOG0000552	HOG0012016
HOG0000552	HOG0015259
HOG0000589	HOG0007813
HOG0000589	HOG0007894
HOG0000590	HOG0011467
HOG0000592	HOG0003416
HOG0000594	HOG0014280
HOG0000598	HOG0003240
HOG0000598	HOG0003796
HOG0000598	HOG0004157
HOG0000598	HOG0004577
HOG0000598	HOG0005262
HOG0000598	HOG0005693
HOG0000598	HOG0006550
HOG0000598	HOG0006732
HOG0000598	HOG0007026
HOG0000598	HOG0007178
HOG0000598	HOG0007271
HOG0000598	HOG0007517
HOG0000598	HOG0007988
HOG0000598	HOG0008543
HOG0000598	HOG0008569
HOG0000598	HOG0008679
HOG0000598	HOG0008779
HOG0000598	HOG0008929
HOG0000598	HOG0008967
HOG0000598	HOG0009349
HOG0000598	HOG0009817
HOG0000598	HOG0009900
HOG0000598	HOG0010224
HOG0000598	HOG0010367
HOG0000598	HOG0010918
HOG0000598	HOG0010976
HOG0000598	HOG0011417
HOG0000598	HOG0011622
HOG0000598	HOG0011681
HOG0000598	HOG0012078
HOG0000598	HOG0012837
HOG0000598	HOG0013411
HOG0000598	HOG0013937
HOG0000598	HOG0014526
HOG0000599	HOG0002197
HOG0000599	HOG0003351
HOG0000599	HOG0004680
HOG0000599	HOG0005676
HOG0000599	HOG0006278
HOG0000599	HOG0007265
HOG0000599	HOG0007327
HOG0000599	HOG0007696
HOG0000599	HOG0008341
HOG0000599	HOG0008418
HOG0000599	HOG0008511
HOG0000599	HOG0008601
HOG0000599	HOG0008648
HOG0000599	HOG0008965
HOG0000599	HOG0009091
HOG0000599	HOG0009112
HOG0000599	HOG0009280
HOG0000599	HOG0009369
HOG0000599	HOG0009460
HOG0000599	HOG0009481
HOG0000599	HOG0009876
HOG0000599	HOG0010065
HOG0000599	HOG0010522
HOG0000599	HOG0010632
HOG0000599	HOG0010765
HOG0000599	HOG0010825
HOG0000599	HOG0010840
HOG0000599	HOG0010864
HOG0000599	HOG0010887
HOG0000599	HOG0010997
HOG0000599	HOG0011162
HOG0000599	HOG0011345
HOG0000599	HOG0011454
HOG0000599	HOG0011674
HOG0000599	HOG0011804
HOG0000599	HOG0011872
HOG0000599	HOG0012224
HOG0000599	HOG0012267
HOG0000599	HOG0012287
HOG0000599	HOG0012425
HOG0000599	HOG0012880
HOG0000599	HOG0012911
HOG0000599	HOG0012946
HOG0000599	HOG0013057
HOG0000599	HOG0013335
HOG0000599	HOG0013456
HOG0000599	HOG0013718
HOG0000599	HOG0014168
HOG0000599	HOG0014697
HOG0000600	HOG0001127
HOG0000600	HOG0001509
HOG0000600	HOG0001733
HOG0000600	HOG0001979
HOG0000600	HOG0002058
HOG0000600	HOG0002272
HOG0000600	HOG0002897
HOG0000600	HOG0003241
HOG0000600	HOG0003778
HOG0000600	HOG0004255
HOG0000600	HOG0004412
HOG0000600	HOG0006037
HOG0000600	HOG0006170
HOG0000600	HOG0006252
HOG0000600	HOG0006326
HOG0000600	HOG0006524
HOG0000600	HOG0006762
HOG0000600	HOG0006960
HOG0000600	HOG0007407
HOG0000600	HOG0007754
HOG0000600	HOG0007755
HOG0000600	HOG0008670
HOG0000600	HOG0008714
HOG0000600	HOG0008771
HOG0000600	HOG0009427
HOG0000600	HOG0009765
HOG0000600	HOG0010049
HOG0000600	HOG0010059
HOG0000600	HOG0010084
HOG0000600	HOG0010572
HOG0000600	HOG0010653
HOG0000600	HOG0010821
HOG0000600	HOG0010855
HOG0000600	HOG0010927
HOG0000600	HOG0011218
HOG0000600	HOG0011753
HOG0000600	HOG0012307
HOG0000600	HOG0013126
HOG0000600	HOG0014388
HOG0000600	HOG0014508
HOG0000600	HOG0014665
HOG0000600	HOG0015091
HOG0000604	HOG0003338
HOG0000604	HOG0003367
HOG0000604	HOG0005297
HOG0000604	HOG0005705
HOG0000604	HOG0006074
HOG0000604	HOG0007494
HOG0000604	HOG0009289
HOG0000604	HOG0010402
HOG0000604	HOG0012122
HOG0000604	HOG0012154
HOG0000604	HOG0013808
HOG0000604	HOG0014273
HOG0000612	HOG0003555
HOG0000612	HOG0013268
HOG0000612	HOG0014538
HOG0000612	HOG0014610
HOG0000614	HOG0003577
HOG0000614	HOG0008125
HOG0000614	HOG0009136
HOG0000614	HOG0009807
HOG0000614	HOG0012106
HOG0000614	HOG0012465
HOG0000619	HOG0001361
HOG0000619	HOG0004706
HOG0000619	HOG0007873
HOG0000629	HOG0001134
HOG0000629	HOG0002616
HOG0000629	HOG0003782
HOG0000629	HOG0004996
HOG0000629	HOG0005579
HOG0000629	HOG0005644
HOG0000629	HOG0006056
HOG0000629	HOG0006743
HOG0000629	HOG0007358
HOG0000629	HOG0008828
HOG0000629	HOG0009569
HOG0000629	HOG0010140
HOG0000629	HOG0010316
HOG0000629	HOG0010376
HOG0000629	HOG0010494
HOG0000629	HOG0010614
HOG0000629	HOG0011111
HOG0000629	HOG0011184
HOG0000629	HOG0011518
HOG0000629	HOG0011820
HOG0000629	HOG0011862
HOG0000629	HOG0011972
HOG0000629	HOG0012445
HOG0000629	HOG0013051
HOG0000629	HOG0013242
HOG0000629	HOG0013539
HOG0000629	HOG0013788
HOG0000629	HOG0014177
HOG0000629	HOG0014252
HOG0000629	HOG0014264
HOG0000629	HOG0014610
HOG0000629	HOG0014999
HOG0000629	HOG0015145
HOG0000629	HOG0015605
HOG0000635	HOG0008373
HOG0000637	HOG0004809
HOG0000645	HOG0002113
HOG0000656	HOG0000911
HOG0000656	HOG0001840
HOG0000656	HOG0005725
HOG0000656	HOG0006524
HOG0000656	HOG0008576
HOG0000656	HOG0008638
HOG0000656	HOG0008670
HOG0000656	HOG0010239
HOG0000656	HOG0010821
HOG0000659	HOG0003767
HOG0000659	HOG0005990
HOG0000659	HOG0007229
HOG0000659	HOG0007633
HOG0000659	HOG0010390
HOG0000659	HOG0010784
HOG0000659	HOG0011824
HOG0000661	HOG0009678
HOG0000661	HOG0015411
HOG0000682	HOG0012280
HOG0000695	HOG0009198
HOG0000695	HOG0013176
HOG0000697	HOG0006363
HOG0000697	HOG0008728
HOG0000698	HOG0000961
HOG0000698	HOG0001822
HOG0000698	HOG0003351
HOG0000698	HOG0005337
HOG0000698	HOG0014905
HOG0000705	HOG0005055
HOG0000705	HOG0005065
HOG0000705	HOG0006935
HOG0000705	HOG0007494
HOG0000705	HOG0008299
HOG0000705	HOG0009832
HOG0000705	HOG0010227
HOG0000705	HOG0010647
HOG0000705	HOG0011988
HOG0000705	HOG0012228
HOG0000705	HOG0012259
HOG0000705	HOG0012325
HOG0000705	HOG0012831
HOG0000705	HOG0013103
HOG0000705	HOG0013115
HOG0000705	HOG0013957
HOG0000705	HOG0014778
HOG0000705	HOG0016906
HOG0000708	HOG0002811
HOG0000708	HOG0003117
HOG0000708	HOG0004928
HOG0000708	HOG0006252
HOG0000708	HOG0006829
HOG0000708	HOG0007228
HOG0000708	HOG0007689
HOG0000708	HOG0009276
HOG0000708	HOG0010821
HOG0000708	HOG0012129
HOG0000708	HOG0012400
HOG0000708	HOG0012919
HOG0000708	HOG0013416
HOG0000708	HOG0013953
HOG0000708	HOG0014308
HOG0000708	HOG0016137
HOG0000719	HOG0008130
HOG0000732	HOG0003070
HOG0000736	HOG0003503
HOG0000736	HOG0004893
HOG0000736	HOG0008347
HOG0000736	HOG0009120
HOG0000736	HOG0010184
HOG0000736	HOG0011884
HOG0000736	HOG0013158
HOG0000736	HOG0013512
HOG0000736	HOG0014023
HOG0000736	HOG0014086
HOG0000736	HOG0015165
HOG0000737	HOG0002650
HOG0000742	HOG0002184
HOG0000742	HOG0004285
HOG0000742	HOG0004979
HOG0000742	HOG0005179
HOG0000742	HOG0006038
HOG0000742	HOG0006293
HOG0000742	HOG0007533
HOG0000742	HOG0008273
HOG0000742	HOG0008411
HOG0000742	HOG0009069
HOG0000742	HOG0009872
HOG0000742	HOG0010410
HOG0000742	HOG0010594
HOG0000742	HOG0010793
HOG0000742	HOG0010947
HOG0000742	HOG0011939
HOG0000742	HOG0013233
HOG0000742	HOG0014130
HOG0000742	HOG0015036
HOG0000742	HOG0017254
HOG0000751	HOG0013973
HOG0000751	HOG0014658
HOG0000754	HOG0009811
HOG0000754	HOG0012554
HOG0000757	HOG0010578
HOG0000760	HOG0001246
HOG0000760	HOG0001423
HOG0000760	HOG0002197
HOG0000760	HOG0002326
HOG0000760	HOG0002805
HOG0000760	HOG0003561
HOG0000760	HOG0004441
HOG0000760	HOG0004680
HOG0000760	HOG0005248
HOG0000760	HOG0005676
HOG0000760	HOG0005904
HOG0000760	HOG0006278
HOG0000760	HOG0006345
HOG0000760	HOG0006742
HOG0000760	HOG0007213
HOG0000760	HOG0007746
HOG0000760	HOG0007848
HOG0000760	HOG0007918
HOG0000760	HOG0008341
HOG0000760	HOG0008377
HOG0000760	HOG0008648
HOG0000760	HOG0010625
HOG0000760	HOG0010632
HOG0000760	HOG0010840
HOG0000760	HOG0011345
HOG0000760	HOG0011441
HOG0000760	HOG0012411
HOG0000760	HOG0012506
HOG0000760	HOG0013057
HOG0000760	HOG0013068
HOG0000760	HOG0013126
HOG0000760	HOG0013231
HOG0000760	HOG0013291
HOG0000760	HOG0013310
HOG0000760	HOG0013481
HOG0000760	HOG0013620
HOG0000760	HOG0013718
HOG0000760	HOG0013902
HOG0000760	HOG0013991
HOG0000760	HOG0014200
HOG0000760	HOG0015588
HOG0000760	HOG0016035
HOG0000764	HOG0002480
HOG0000764	HOG0002573
HOG0000764	HOG0003157
HOG0000764	HOG0003616
HOG0000764	HOG0003728
HOG0000764	HOG0003796
HOG0000764	HOG0005052
HOG0000764	HOG0005182
HOG0000764	HOG0005262
HOG0000764	HOG0006550
HOG0000764	HOG0006732
HOG0000764	HOG0007860
HOG0000764	HOG0007988
HOG0000764	HOG0008108
HOG0000764	HOG0008164
HOG0000764	HOG0008388
HOG0000764	HOG0008447
HOG0000764	HOG0008543
HOG0000764	HOG0008569
HOG0000764	HOG0008679
HOG0000764	HOG0008779
HOG0000764	HOG0008808
HOG0000764	HOG0008907
HOG0000764	HOG0008929
HOG0000764	HOG0008967
HOG0000764	HOG0009783
HOG0000764	HOG0009827
HOG0000764	HOG0009900
HOG0000764	HOG0009946
HOG0000764	HOG0010224
HOG0000764	HOG0010367
HOG0000764	HOG0010616
HOG0000764	HOG0010976
HOG0000764	HOG0011369
HOG0000764	HOG0011595
HOG0000764	HOG0011990
HOG0000764	HOG0012336
HOG0000764	HOG0012372
HOG0000764	HOG0012497
HOG0000764	HOG0012520
HOG0000764	HOG0012655
HOG0000764	HOG0012818
HOG0000764	HOG0013285
HOG0000764	HOG0013411
HOG0000764	HOG0013937
HOG0000764	HOG0014830
HOG0000764	HOG0015500
HOG0000766	HOG0006352
HOG0000766	HOG0007360
HOG0000766	HOG0007731
HOG0000766	HOG0008346
HOG0000766	HOG0008442
HOG0000766	HOG0009968
HOG0000770	HOG0012230
HOG0000770	HOG0015753
HOG0000771	HOG0005954
HOG0000771	HOG0007739
HOG0000771	HOG0010391
HOG0000771	HOG0013328
HOG0000771	HOG0014154
HOG0000771	HOG0014219
HOG0000771	HOG0014828
HOG0000772	HOG0003265
HOG0000772	HOG0004629
HOG0000772	HOG0005403
HOG0000772	HOG0005799
HOG0000772	HOG0006092
HOG0000772	HOG0007003
HOG0000772	HOG0007986
HOG0000772	HOG0009196
HOG0000772	HOG0013561
HOG0000772	HOG0015691
HOG0000773	HOG0006101
HOG0000774	HOG0002998
HOG0000774	HOG0008255
HOG0000774	HOG0008688
HOG0000774	HOG0015178
HOG0000776	HOG0009778
HOG0000779	HOG0002184
HOG0000779	HOG0003117
HOG0000779	HOG0006306
HOG0000779	HOG0009872
HOG0000779	HOG0010059
HOG0000779	HOG0010410
HOG0000779	HOG0010653
HOG0000779	HOG0013378
HOG0000779	HOG0016713
HOG0000790	HOG0014793
HOG0000802	HOG0002196
HOG0000802	HOG0002595
HOG0000802	HOG0003477
HOG0000802	HOG0003561
HOG0000802	HOG0004706
HOG0000802	HOG0005496
HOG0000802	HOG0007914
HOG0000802	HOG0007934
HOG0000802	HOG0008449
HOG0000802	HOG0009454
HOG0000802	HOG0011720
HOG0000805	HOG0009996
HOG0000810	HOG0004095
HOG0000810	HOG0004230
HOG0000810	HOG0008540
HOG0000810	HOG0010132
HOG0000810	HOG0016112
HOG0000812	HOG0001173
HOG0000812	HOG0007988
HOG0000812	HOG0011055
HOG0000812	HOG0011652
HOG0000812	HOG0012078
HOG0000812	HOG0013341
HOG0000812	HOG0013411
HOG0000812	HOG0013752
HOG0000812	HOG0015292
HOG0000813	HOG0002546
HOG0000813	HOG0004005
HOG0000813	HOG0004597
HOG0000813	HOG0008859
HOG0000813	HOG0009439
HOG0000813	HOG0010655
HOG0000813	HOG0010791
HOG0000813	HOG0010947
HOG0000813	HOG0012101
HOG0000813	HOG0012296
HOG0000813	HOG0013864
HOG0000815	HOG0004250
HOG0000815	HOG0006990
HOG0000815	HOG0009469
HOG0000815	HOG0010294
HOG0000815	HOG0016071
HOG0000824	HOG0004924
HOG0000825	HOG0000911
HOG0000825	HOG0002244
HOG0000825	HOG0003739
HOG0000825	HOG0005199
HOG0000825	HOG0005570
HOG0000825	HOG0005615
HOG0000825	HOG0007175
HOG0000825	HOG0007678
HOG0000825	HOG0007965
HOG0000825	HOG0008030
HOG0000825	HOG0008368
HOG0000825	HOG0008706
HOG0000825	HOG0009074
HOG0000825	HOG0009300
HOG0000825	HOG0009453
HOG0000825	HOG0010186
HOG0000825	HOG0010705
HOG0000825	HOG0011075
HOG0000825	HOG0012321
HOG0000825	HOG0012468
HOG0000825	HOG0013708
HOG0000836	HOG0008645
HOG0000836	HOG0010256
HOG0000836	HOG0012313
HOG0000836	HOG0012364
HOG0000836	HOG0015000
HOG0000836	HOG0015708
HOG0000839	HOG0006839
HOG0000841	HOG0002879
HOG0000841	HOG0003666
HOG0000841	HOG0006345
HOG0000841	HOG0007155
HOG0000841	HOG0011154
HOG0000841	HOG0012463
HOG0000841	HOG0012584
HOG0000841	HOG0014722
HOG0000869	HOG0005953
HOG0000869	HOG0007216
HOG0000869	HOG0007273
HOG0000869	HOG0007511
HOG0000869	HOG0007662
HOG0000869	HOG0007763
HOG0000869	HOG0008850
HOG0000869	HOG0008853
HOG0000869	HOG0009650
HOG0000869	HOG0009781
HOG0000869	HOG0010226
HOG0000869	HOG0010391
HOG0000869	HOG0010539
HOG0000869	HOG0010706
HOG0000869	HOG0011361
HOG0000869	HOG0011737
HOG0000869	HOG0012094
HOG0000869	HOG0012869
HOG0000869	HOG0014828
HOG0000872	HOG0000911
HOG0000872	HOG0001668
HOG0000872	HOG0005009
HOG0000872	HOG0005705
HOG0000872	HOG0006326
HOG0000872	HOG0007422
HOG0000872	HOG0007533
HOG0000872	HOG0008030
HOG0000872	HOG0009439
HOG0000872	HOG0009910
HOG0000872	HOG0012101
HOG0000872	HOG0013109
HOG0000872	HOG0013126
HOG0000872	HOG0013652
HOG0000872	HOG0014706
HOG0000872	HOG0016167
HOG0000877	HOG0001613
HOG0000877	HOG0004697
HOG0000877	HOG0007196
HOG0000877	HOG0011837
HOG0000877	HOG0012547
HOG0000877	HOG0013377
HOG0000880	HOG0004964
HOG0000881	HOG0008142
HOG0000896	HOG0009126
HOG0000906	HOG0011113
HOG0000906	HOG0015190
HOG0000911	HOG0000989
HOG0000911	HOG0001500
HOG0000911	HOG0002058
HOG0000911	HOG0002244
HOG0000911	HOG0002283
HOG0000911	HOG0002445
HOG0000911	HOG0002710
HOG0000911	HOG0002897
HOG0000911	HOG0003634
HOG0000911	HOG0003739
HOG0000911	HOG0003819
HOG0000911	HOG0003934
HOG0000911	HOG0004635
HOG0000911	HOG0004928
HOG0000911	HOG0005144
HOG0000911	HOG0005199
HOG0000911	HOG0005273
HOG0000911	HOG0005567
HOG0000911	HOG0005570
HOG0000911	HOG0005615
HOG0000911	HOG0005676
HOG0000911	HOG0005725
HOG0000911	HOG0006100
HOG0000911	HOG0007173
HOG0000911	HOG0007175
HOG0000911	HOG0007287
HOG0000911	HOG0007407
HOG0000911	HOG0007452
HOG0000911	HOG0007621
HOG0000911	HOG0007922
HOG0000911	HOG0008087
HOG0000911	HOG0008268
HOG0000911	HOG0008293
HOG0000911	HOG0008324
HOG0000911	HOG0008332
HOG0000911	HOG0008349
HOG0000911	HOG0008361
HOG0000911	HOG0008368
HOG0000911	HOG0008452
HOG0000911	HOG0008638
HOG0000911	HOG0008670
HOG0000911	HOG0008706
HOG0000911	HOG0008805
HOG0000911	HOG0008818
HOG0000911	HOG0008943
HOG0000911	HOG0009074
HOG0000911	HOG0009190
HOG0000911	HOG0009201
HOG0000911	HOG0009260
HOG0000911	HOG0009300
HOG0000911	HOG0009301
HOG0000911	HOG0009396
HOG0000911	HOG0009453
HOG0000911	HOG0009585
HOG0000911	HOG0009690
HOG0000911	HOG0009695
HOG0000911	HOG0009828
HOG0000911	HOG0010095
HOG0000911	HOG0010170
HOG0000911	HOG0010186
HOG0000911	HOG0010206
HOG0000911	HOG0010243
HOG0000911	HOG0010332
HOG0000911	HOG0010489
HOG0000911	HOG0010705
HOG0000911	HOG0010839
HOG0000911	HOG0011068
HOG0000911	HOG0011075
HOG0000911	HOG0011094
HOG0000911	HOG0011583
HOG0000911	HOG0011661
HOG0000911	HOG0011720
HOG0000911	HOG0011923
HOG0000911	HOG0012179
HOG0000911	HOG0012292
HOG0000911	HOG0012321
HOG0000911	HOG0012494
HOG0000911	HOG0012807
HOG0000911	HOG0012808
HOG0000911	HOG0012975
HOG0000911	HOG0013085
HOG0000911	HOG0013181
HOG0000911	HOG0013412
HOG0000911	HOG0013429
HOG0000911	HOG0013524
HOG0000911	HOG0013652
HOG0000911	HOG0014218
HOG0000911	HOG0015068
HOG0000911	HOG0015164
HOG0000932	HOG0008315
HOG0000933	HOG0002806
HOG0000933	HOG0007475
HOG0000933	HOG0008601
HOG0000933	HOG0009487
HOG0000933	HOG0011095
HOG0000933	HOG0012978
HOG0000952	HOG0004974
HOG0000952	HOG0007229
HOG0000952	HOG0007503
HOG0000952	HOG0009674
HOG0000952	HOG0012430
HOG0000952	HOG0012800
HOG0000961	HOG0008273
