HOG_ID	Node_labels	color	Functional_category	Functional_cat_code	Comprehensive_ID
HOG0000645	NA	gray	Other	2	Atha__AT5G12000, Atha__AT5G26150
HOG0000656	NA	gray	Other	2	Atha__AT1G06260
HOG0000659	NA	gray	Other	2	Atha__AT4G39330, Atha__AT2G21890, Atha__AT2G21730
HOG0000661	NA	NA	NA	4	HOG0000661
HOG0000682	NA	gray	Other	2	Atha__AT5G23860
HOG0000695	NA	red	Mitochondria	1	Atha__AT2G18700
HOG0000697	NA	gray	Other	2	Atha__AT1G68020
HOG0000698	NA	gray	Other	2	Atha__AT4G17770
HOG0000705	NA	gray	Other	2	Atha__AT5G25840, Atha__AT1G79770
HOG0000708	NA	gray	Other	2	Atha__AT5G20670, Atha__AT2G09970, Atha__AT1G72510, Atha__AT1G54095
HOG0000719	NA	gray	Other	2	Atha__AT4G34050
HOG0000732	NA	gray	Other	2	Atha__AT3G50760, Atha__AT1G19300
HOG0000736	NA	gray	Other	2	Atha__AT1G13250
HOG0000737	NA	gray	Other	2	Atha__AT3G06260
HOG0000742	NA	gray	Other	2	Atha__AT3G18470
HOG0000751	NA	gray	Other	2	Atha__AT4G11240, Atha__AT1G64040
HOG0000754	NA	gray	Other	2	Atha__AT3G46820, Atha__AT5G59160, Atha__AT2G39840
HOG0000757	NA	gray	Other	2	Atha__AT3G05580, Atha__AT5G27840
HOG0000760	NA	gray	Other	2	Atha__AT2G37060, Atha__AT3G53340, Atha__AT2G38880
HOG0000764	NA	gray	Other	2	Atha__AT2G13570
HOG0000766	NA	gray	Other	2	Atha__AT1G31810
HOG0000770	NA	gray	Other	2	Atha__AT5G58160
HOG0000771	NA	gray	Other	2	Atha__AT2G25050, Atha__AT3G32400
HOG0000772	NA	gray	Other	2	Atha__AT5G57610
HOG0000773	NA	NA	NA	4	HOG0000773
HOG0000774	NA	gray	Other	2	Atha__AT3G46920
HOG0000776	NA	gray	Other	2	Atha__AT2G35050, Atha__AT1G16270, Atha__AT1G79570
HOG0000779	NA	gray	Other	2	Atha__AT5G62360
HOG0000790	NA	NA	NA	4	HOG0000790
HOG0000802	NA	gray	Other	2	Atha__AT5G56150
HOG0000805	NA	gray	Other	2	Atha__AT2G16740
HOG0000810	NA	gray	Other	2	Atha__AT1G73190, Atha__AT1G17810
HOG0000812	NA	Green	Plastid	3	Atha__AT3G16240
HOG0000813	NA	Green	Plastid	3	Atha__AT2G36830, Atha__AT3G26520, Atha__AT4G01470
HOG0000815	NA	gray	Other	2	Atha__AT3G14880
HOG0000824	NA	NA	NA	4	HOG0000824
HOG0000825	NA	gray	Other	2	Atha__AT4G00910
HOG0000836	NA	gray	Other	2	Atha__AT5G12180, Atha__AT5G19360
HOG0000839	NA	NA	NA	4	HOG0000839
HOG0000841	NA	gray	Other	2	Atha__AT1G76040
HOG0000869	NA	gray	Other	2	Atha__AT1G01120
HOG0000872	NA	gray	Other	2	Atha__AT2G26640
HOG0000877	NA	gray	Other	2	Atha__AT2G40670, Atha__AT3G56380
HOG0000880	NA	gray	Other	2	Atha__AT1G19050, Atha__AT1G74890, Atha__AT3G48100, Atha__AT5G62920
HOG0000881	NA	gray	Other	2	Atha__AT1G12100
HOG0000896	NA	gray	Other	2	Atha__AT1G17950, Atha__AT1G73410
HOG0000906	NA	gray	Other	2	Atha__AT3G48040, Atha__AT5G62880
HOG0000911	NA	gray	Other	2	Atha__AT3G51300, Atha__AT2G17800, Atha__AT4G35950
HOG0000932	NA	gray	Other	2	Atha__AT1G08290
HOG0000933	NA	gray	Other	2	Atha__AT1G13290
HOG0000952	NA	NA	NA	4	HOG0000952
HOG0000961	NA	gray	Other	2	Atha__AT1G26770, Atha__AT2G03090, Atha__AT1G69530, Atha__AT3G29030
HOG0000964	NA	gray	Other	2	Atha__AT4G10350, Atha__AT1G33280
HOG0000966	NA	gray	Other	2	Atha__AT5G66300, Atha__AT2G18060, Atha__AT4G36160
HOG0000969	NA	gray	Other	2	Atha__AT5G09330, Atha__AT5G64060
HOG0000972	NA	gray	Other	2	Atha__AT4G30960
HOG0000973	NA	gray	Other	2	Atha__AT4G14580, Atha__AT3G23000
HOG0000976	NA	gray	Other	2	Atha__AT5G45820
HOG0000979	NA	Green	Plastid	3	Atha__AT5G61520
HOG0000982	NA	gray	Other	2	Atha__AT1G78710
HOG0000984	NA	gray	Other	2	Atha__AT1G72210
HOG0000988	NA	gray	Other	2	Atha__AT2G46810, Atha__AT3G61950
HOG0000989	NA	gray	Other	2	Atha__AT1G67710
HOG0000991	NA	gray	Other	2	Atha__AT2G01760
HOG0000997	NA	gray	Other	2	Atha__AT4G16745
HOG0001000	NA	gray	Other	2	Atha__AT1G67290, Atha__AT5G19580
HOG0001003	NA	gray	Other	2	Atha__AT1G14430, Atha__AT3G57620
HOG0001010	NA	gray	Other	2	Atha__AT1G16530, Atha__AT1G31320
HOG0001017	NA	gray	Other	2	Atha__AT2G41110, Atha__AT3G56800
HOG0001020	NA	gray	Other	2	Atha__AT2G31730, Atha__AT1G05710
HOG0001031	NA	gray	Other	2	Atha__AT3G03480, Atha__AT5G17540
HOG0001047	NA	gray	Other	2	Atha__AT4G13650
HOG0001052	NA	red	Mitochondria	1	Atha__AT2G39620
HOG0001053	NA	Green	Plastid	3	Atha__AT3G57430
HOG0001057	NA	gray	Other	2	Atha__AT5G50860
HOG0001060	NA	gray	Other	2	Atha__AT5G03795, Atha__AT3G07620
HOG0001061	NA	gray	Other	2	Atha__AT5G25310
HOG0001099	NA	gray	Other	2	Atha__AT3G23820
HOG0001109	NA	gray	Other	2	Atha__AT4G36360, Atha__AT1G45130
HOG0001110	NA	NA	NA	4	HOG0001110
HOG0001119	NA	Green	Plastid	3	Atha__AT3G03630
HOG0001120	NA	gray	Other	2	Atha__AT2G43750, Atha__AT3G59760
HOG0001123	NA	gray	Other	2	Atha__AT1G17590, Atha__AT1G72830
HOG0001124	NA	gray	Other	2	Atha__AT5G12840, Atha__AT3G20910
HOG0001125	NA	gray	Other	2	Atha__AT2G34720, Atha__AT1G30500
HOG0001127	NA	gray	Other	2	Atha__AT1G20900, Atha__AT1G76500, Atha__AT4G35390
HOG0001131	NA	gray	Other	2	Atha__AT4G36520
HOG0001134	NA	gray	Other	2	Atha__AT1G75100
HOG0001137	NA	gray	Other	2	Atha__AT5G57390
HOG0001143	NA	NA	NA	4	HOG0001143
HOG0001157	NA	gray	Other	2	Atha__AT2G18350
HOG0001163	NA	gray	Other	2	Atha__AT1G02730
HOG0001169	NA	gray	Other	2	Atha__AT2G40260, Atha__AT2G38300
HOG0001173	NA	gray	Other	2	Atha__AT3G59470
HOG0001196	NA	NA	NA	4	HOG0001196
HOG0001202	NA	gray	Other	2	Atha__AT1G67750, Atha__AT5G63180, Atha__AT4G24780
HOG0001206	NA	gray	Other	2	Atha__AT3G19553
HOG0001207	NA	gray	Other	2	Atha__AT5G05630, Atha__AT1G31830, Atha__AT1G31820
HOG0001210	NA	gray	Other	2	Atha__AT5G19120
HOG0001221	NA	gray	Other	2	Atha__AT1G10210, Atha__AT1G59580
HOG0001222	NA	gray	Other	2	Atha__AT2G18170, Atha__AT4G36450
HOG0001228	NA	gray	Other	2	Atha__AT2G33770
HOG0001233	NA	NA	NA	4	HOG0001233
HOG0001242	NA	gray	Other	2	Atha__AT1G08820
HOG0001244	NA	gray	Other	2	Atha__AT2G45140, Atha__AT3G60600
HOG0001245	NA	Green	Plastid	3	Atha__AT2G02980
HOG0001246	NA	NA	NA	4	HOG0001246
HOG0001247	NA	NA	NA	4	HOG0001247
HOG0001249	NA	NA	NA	4	HOG0001249
HOG0001251	NA	gray	Other	2	Atha__AT4G21065
HOG0001252	NA	gray	Other	2	Atha__AT3G47530
HOG0001275	NA	gray	Other	2	Atha__AT5G35735, Atha__AT4G17280, Atha__AT5G47530
HOG0001278	NA	NA	NA	4	HOG0001278
HOG0001302	NA	gray	Other	2	Atha__AT4G36920
HOG0001306	NA	gray	Other	2	Atha__AT5G60490, Atha__AT5G03170
HOG0001307	NA	gray	Other	2	Atha__AT2G20520, Atha__AT1G03870, Atha__AT5G44130
HOG0001310	NA	gray	Other	2	Atha__AT1G06400, Atha__AT1G16920, Atha__AT5G45750, Atha__AT4G18800
HOG0001317	NA	gray	Other	2	Atha__AT2G46780
HOG0001318	NA	gray	Other	2	Atha__AT3G54770
HOG0001320	NA	gray	Other	2	Atha__AT1G22910, Atha__AT1G33470
HOG0001321	NA	gray	Other	2	Atha__AT4G00990
HOG0001322	NA	gray	Other	2	Atha__AT1G62310, Atha__AT1G11950
HOG0001324	NA	NA	NA	4	HOG0001324
HOG0001339	NA	NA	NA	4	HOG0001339
HOG0001342	NA	gray	Other	2	Atha__AT1G43800
HOG0001347	NA	NA	NA	4	HOG0001347
HOG0001355	NA	NA	NA	4	HOG0001355
HOG0001360	NA	gray	Other	2	Atha__AT3G54930, Atha__AT3G09880, Atha__AT5G03470
HOG0001369	NA	gray	Other	2	Atha__AT3G01190, Atha__AT5G15180
HOG0001388	NA	gray	Other	2	Atha__AT5G07500
HOG0001389	NA	gray	Other	2	Atha__AT1G03790, Atha__AT5G44260
HOG0001393	NA	gray	Other	2	Atha__AT2G27880
HOG0001409	NA	gray	Other	2	Atha__AT4G20270
HOG0001410	NA	NA	NA	4	HOG0001410
HOG0001423	NA	Green	Plastid	3	Atha__AT2G27080, Atha__AT5G21130
HOG0001432	NA	NA	NA	4	HOG0001432
HOG0001433	NA	gray	Other	2	Atha__AT2G28210, Atha__AT1G08080
HOG0001436	NA	gray	Other	2	Atha__AT4G00680, Atha__AT1G01750
HOG0001438	NA	gray	Other	2	Atha__AT1G69860, Atha__AT1G69870, Atha__AT1G27080
HOG0001457	NA	gray	Other	2	Atha__AT2G18480, Atha__AT4G36670
HOG0001459	NA	Green	Plastid	3	Atha__AT2G13680
HOG0001460	NA	gray	Other	2	Atha__AT1G06490, Atha__AT3G59100
HOG0001461	NA	gray	Other	2	Atha__AT5G36870, Atha__AT2G31960, Atha__AT1G05570, Atha__AT5G13000
HOG0001463	NA	gray	Other	2	Atha__AT2G30270
HOG0001477	NA	gray	Other	2	Atha__AT2G01420, Atha__AT1G23080, Atha__AT1G70940
HOG0001478	NA	NA	NA	4	HOG0001478
HOG0001484	NA	gray	Other	2	Atha__AT1G23300, Atha__AT1G12950, Atha__AT3G26590, Atha__AT5G38030
HOG0001487	NA	gray	Other	2	Atha__AT2G30870, Atha__AT2G30860, Atha__AT3G03190, Atha__AT5G17220
HOG0001494	NA	gray	Other	2	Atha__AT2G02061, Atha__AT1G14590
HOG0001495	NA	gray	Other	2	Atha__AT5G07250
HOG0001496	NA	gray	Other	2	Atha__AT1G63120, Atha__AT1G12750
HOG0001498	NA	gray	Other	2	Atha__AT3G53780, Atha__AT2G29050
HOG0001499	NA	gray	Other	2	Atha__AT3G09370, Atha__AT2G13960, Atha__AT5G02320
HOG0001500	NA	gray	Other	2	Atha__AT4G32730, Atha__AT5G11510
HOG0001501	NA	gray	Other	2	Atha__AT4G00540, Atha__AT1G43330
HOG0001505	NA	gray	Other	2	Atha__AT2G46870, Atha__AT3G61970, Atha__AT4G01500, Atha__AT1G01030
HOG0001506	NA	gray	Other	2	Atha__AT5G19410
HOG0001508	NA	gray	Other	2	Atha__AT2G13610
HOG0001509	NA	gray	Other	2	Atha__AT1G53270
HOG0001511	NA	gray	Other	2	Atha__AT3G50500, Atha__AT5G66880, Atha__AT4G33950
HOG0001513	NA	gray	Other	2	Atha__AT4G40010, Atha__AT1G78290
HOG0001555	NA	gray	Other	2	Atha__AT2G21050
HOG0001558	NA	gray	Other	2	Atha__AT1G52150, Atha__AT4G32880
HOG0001559	NA	gray	Other	2	Atha__AT5G60690
HOG0001561	NA	gray	Other	2	Atha__AT2G46680, Atha__AT3G61890
HOG0001572	NA	gray	Other	2	Atha__AT1G13380
HOG0001573	NA	gray	Other	2	Atha__AT1G68220
HOG0001574	NA	gray	Other	2	Atha__AT1G61065, Atha__AT4G27435, Atha__AT1G52910, Atha__AT3G15480
HOG0001577	NA	Green	Plastid	3	Atha__AT5G10450, Atha__AT5G65430
HOG0001578	NA	gray	Other	2	Atha__AT1G35160, Atha__AT1G78300
HOG0001581	NA	Green	Plastid	3	Atha__AT5G38480, Atha__AT3G02520, Atha__AT5G16050
HOG0001603	NA	gray	Other	2	Atha__AT4G27260, Atha__AT5G54510
HOG0001604	NA	gray	Other	2	Atha__AT2G23170, Atha__AT4G37390, Atha__AT1G59500, Atha__AT2G14960
HOG0001607	NA	gray	Other	2	Atha__AT1G54730
HOG0001610	NA	gray	Other	2	Atha__AT1G58340
HOG0001613	NA	red	Mitochondria	1	Atha__AT5G39950
HOG0001615	NA	gray	Other	2	Atha__AT1G48870
HOG0001622	NA	gray	Other	2	Atha__AT3G11100, Atha__AT5G05550
HOG0001643	NA	gray	Other	2	Atha__AT2G31180, Atha__AT1G06180, Atha__AT3G23250
HOG0001648	NA	gray	Other	2	Atha__AT4G00400, Atha__AT1G01610
HOG0001652	NA	gray	Other	2	Atha__AT2G25690, Atha__AT5G11460
HOG0001665	NA	gray	Other	2	Atha__AT4G08570
HOG0001666	NA	gray	Other	2	Atha__AT4G39700
HOG0001668	NA	gray	Other	2	Atha__AT5G17450, Atha__AT1G71050, Atha__AT1G22990
HOG0001671	NA	Green	Plastid	3	Atha__AT4G31880
HOG0001674	NA	gray	Other	2	Atha__AT1G53920
HOG0001677	NA	Green	Plastid	3	Atha__AT1G54570
HOG0001693	NA	gray	Other	2	Atha__AT2G38290
HOG0001694	NA	gray	Other	2	Atha__AT2G46160, Atha__AT3G61550
HOG0001698	NA	NA	NA	4	HOG0001698
HOG0001699	NA	gray	Other	2	Atha__AT1G13710, Atha__AT1G74110
HOG0001701	NA	gray	Other	2	Atha__AT5G51750
HOG0001702	NA	gray	Other	2	Atha__AT2G05920
HOG0001703	NA	gray	Other	2	Atha__AT5G67360
HOG0001706	NA	gray	Other	2	Atha__AT3G26850
HOG0001708	NA	gray	Other	2	Atha__AT2G10553, Atha__AT3G18640
HOG0001717	NA	gray	Other	2	Atha__AT4G37530, Atha__AT4G37520, Atha__AT3G49960, Atha__AT5G67400
HOG0001721	NA	gray	Other	2	Atha__AT4G02360, Atha__AT1G02813
HOG0001723	NA	gray	Other	2	Atha__AT4G22680, Atha__AT4G12350
HOG0001725	NA	gray	Other	2	Atha__AT5G14340
HOG0001726	NA	gray	Other	2	Atha__AT4G20970
HOG0001731	NA	gray	Other	2	Atha__AT5G65630, Atha__AT5G10550
HOG0001733	NA	gray	Other	2	Atha__AT1G54560, Atha__AT1G08730, Atha__AT3G58160
HOG0001734	NA	gray	Other	2	Atha__AT1G17580, Atha__AT5G20490
HOG0001737	NA	gray	Other	2	Atha__AT5G01700
HOG0001738	NA	gray	Other	2	Atha__AT1G16220, Atha__AT1G79630, Atha__AT5G36250, Atha__AT3G02750
HOG0001755	NA	gray	Other	2	Atha__AT2G23690, Atha__AT4G37240, Atha__AT3G50800, Atha__AT5G66580
HOG0001759	NA	gray	Other	2	Atha__AT1G55130, Atha__AT3G13772
HOG0001762	NA	gray	Other	2	Atha__AT5G18500, Atha__AT3G17420, Atha__AT1G09440, Atha__AT1G56720
HOG0001765	NA	gray	Other	2	Atha__AT4G28680, Atha__AT2G20340
HOG0001769	NA	Green	Plastid	3	Atha__AT2G41560, Atha__AT3G57330
HOG0001770	NA	gray	Other	2	Atha__AT2G22950, Atha__AT4G37640, Atha__AT1G27770
HOG0001777	NA	gray	Other	2	Atha__AT1G55170
HOG0001778	NA	NA	NA	4	HOG0001778
HOG0001786	NA	gray	Other	2	Atha__AT4G01600
HOG0001787	NA	gray	Other	2	Atha__AT4G40100, Atha__AT2G22475
HOG0001793	NA	gray	Other	2	Atha__AT1G72220, Atha__AT5G10380, Atha__AT4G33565
HOG0001797	NA	gray	Other	2	Atha__AT1G62990
HOG0001803	NA	Green	Plastid	3	Atha__AT3G24220
HOG0001809	NA	gray	Other	2	Atha__AT1G65550, Atha__AT5G25420, Atha__AT1G49960
HOG0001811	NA	gray	Other	2	Atha__AT5G18810
HOG0001812	NA	gray	Other	2	Atha__AT1G55310, Atha__AT3G13570
HOG0001813	NA	gray	Other	2	Atha__AT3G55460
HOG0001830	NA	gray	Other	2	Atha__AT3G11910, Atha__AT5G06600
HOG0001831	NA	NA	NA	4	HOG0001831
HOG0001834	NA	NA	NA	4	HOG0001834
HOG0001838	NA	gray	Other	2	Atha__AT1G62710
HOG0001839	NA	gray	Other	2	Atha__AT3G20210
HOG0001840	NA	gray	Other	2	Atha__AT2G25940, Atha__AT4G32940
HOG0001851	NA	gray	Other	2	Atha__AT2G33810
HOG0001855	NA	gray	Other	2	Atha__AT5G42100, Atha__AT1G32860
HOG0001856	NA	gray	Other	2	Atha__AT2G27500
HOG0001857	NA	gray	Other	2	Atha__AT3G11840
HOG0001863	NA	NA	NA	4	HOG0001863
HOG0001870	NA	NA	NA	4	HOG0001870
HOG0001871	NA	gray	Other	2	Atha__AT1G60980, Atha__AT5G07200, Atha__AT4G25420, Atha__AT5G51810
HOG0001873	NA	gray	Other	2	Atha__AT4G16650
HOG0001875	NA	NA	NA	4	HOG0001875
HOG0001877	NA	gray	Other	2	Atha__AT1G63930, Atha__AT4G23530, Atha__AT4G11300
HOG0001880	NA	NA	NA	4	HOG0001880
HOG0001896	NA	gray	Other	2	Atha__AT4G14410, Atha__AT3G23210
HOG0001901	NA	NA	NA	4	HOG0001901
HOG0001911	NA	NA	NA	4	HOG0001911
HOG0001912	NA	gray	Other	2	Atha__AT1G62290, Atha__AT1G11910
HOG0001918	NA	gray	Other	2	Atha__AT5G60980
HOG0001931	NA	gray	Other	2	Atha__AT3G08510, Atha__AT3G55940
HOG0001940	NA	gray	Other	2	Atha__AT1G75450
HOG0001946	NA	gray	Other	2	Atha__AT1G26480
HOG0001950	NA	gray	Other	2	Atha__AT3G60720
HOG0001952	NA	gray	Other	2	Atha__AT2G24640, Atha__AT4G31670
HOG0001959	NA	gray	Other	2	Atha__AT3G23750
HOG0001960	NA	gray	Other	2	Atha__AT1G66150, Atha__AT2G01820, Atha__AT1G24650
HOG0001962	NA	gray	Other	2	Atha__AT2G36020
HOG0001965	NA	gray	Other	2	Atha__AT5G42560
HOG0001969	NA	gray	Other	2	Atha__AT4G01700, Atha__AT1G02360
HOG0001978	NA	gray	Other	2	Atha__AT4G24760, Atha__AT3G01690, Atha__AT5G14390
HOG0001979	NA	gray	Other	2	Atha__AT3G30380
HOG0001980	NA	gray	Other	2	Atha__AT1G66900, Atha__AT5G38220
HOG0001981	NA	gray	Other	2	Atha__AT1G47670
HOG0001988	NA	gray	Other	2	Atha__AT1G69640, Atha__AT1G14290
HOG0002008	NA	gray	Other	2	Atha__AT3G53620
HOG0002024	NA	gray	Other	2	Atha__AT2G16850, Atha__AT4G35100
HOG0002025	NA	gray	Other	2	Atha__AT3G54820, Atha__AT3G53420, Atha__AT2G37170, Atha__AT2G37180
HOG0002026	NA	gray	Other	2	Atha__AT2G46710
HOG0002031	NA	gray	Other	2	Atha__AT5G55020
HOG0002033	NA	gray	Other	2	Atha__AT4G28110, Atha__AT4G05100, Atha__AT4G21440
HOG0002035	NA	gray	Other	2	Atha__AT3G25160
HOG0002038	NA	gray	Other	2	Atha__AT2G21190, Atha__AT4G38790
HOG0002044	NA	gray	Other	2	Atha__AT5G19010
HOG0002051	NA	gray	Other	2	Atha__AT4G19230, Atha__AT5G45340
HOG0002052	NA	gray	Other	2	Atha__AT1G08350
HOG0002056	NA	gray	Other	2	Atha__AT2G01260, Atha__AT1G15030
HOG0002058	NA	gray	Other	2	Atha__AT5G49190, Atha__AT4G02280
HOG0002065	NA	red	Mitochondria	1	Atha__AT5G61030
HOG0002069	NA	gray	Other	2	Atha__AT4G02900
HOG0002072	NA	gray	Other	2	Atha__AT4G29220, Atha__AT4G26270, Atha__AT5G56630, Atha__AT4G32840
HOG0002080	NA	gray	Other	2	Atha__AT3G05840, Atha__AT5G26751
HOG0002093	NA	gray	Other	2	Atha__AT3G14360
HOG0002095	NA	gray	Other	2	Atha__AT5G40490
HOG0002099	NA	gray	Other	2	Atha__AT5G63470, Atha__AT3G48590
HOG0002100	NA	gray	Other	2	Atha__AT1G56170
HOG0002101	NA	gray	Other	2	Atha__AT1G54830, Atha__AT1G08970
HOG0002103	NA	gray	Other	2	Atha__AT3G04070
HOG0002105	NA	gray	Other	2	Atha__AT1G67790
HOG0002111	NA	gray	Other	2	Atha__AT3G20500
HOG0002112	NA	gray	Other	2	Atha__AT3G52820, Atha__AT3G52810
HOG0002113	NA	gray	Other	2	Atha__AT3G52780
HOG0002114	NA	gray	Other	2	Atha__AT5G52230
HOG0002117	NA	gray	Other	2	Atha__AT4G15480, Atha__AT3G21560, Atha__AT4G15500, Atha__AT4G15490
HOG0002120	NA	gray	Other	2	Atha__AT2G19440, Atha__AT1G64760, Atha__AT3G04010, Atha__AT5G18220
HOG0002129	NA	gray	Other	2	Atha__AT2G36190, Atha__AT3G52600
HOG0002130	NA	gray	Other	2	Atha__AT3G13790, Atha__AT1G55120, Atha__AT3G13784
HOG0002131	NA	gray	Other	2	Atha__AT5G43670
HOG0002133	NA	gray	Other	2	Atha__AT1G05520, Atha__AT4G14160, Atha__AT3G23660
HOG0002136	NA	gray	Other	2	Atha__AT5G15050, Atha__AT5G39990
HOG0002139	NA	gray	Other	2	Atha__AT2G19130
HOG0002140	NA	gray	Other	2	Atha__AT1G68070, Atha__AT2G01735
HOG0002149	NA	gray	Other	2	Atha__AT2G44290, Atha__AT2G44300
HOG0002150	NA	gray	Other	2	Atha__AT3G11420, Atha__AT2G37730
HOG0002151	NA	gray	Other	2	Atha__AT1G07850, Atha__AT5G41460, Atha__AT4G23490, Atha__AT4G11350
HOG0002152	NA	gray	Other	2	Atha__AT4G15780
HOG0002154	NA	NA	NA	4	HOG0002154
HOG0002155	NA	gray	Other	2	Atha__AT2G33120, Atha__AT1G04750, Atha__AT1G04760
HOG0002156	NA	red	Mitochondria	1	Atha__AT5G13810, Atha__AT2G41330, Atha__AT3G57070
HOG0002163	NA	gray	Other	2	Atha__AT1G05690
HOG0002164	NA	gray	Other	2	Atha__AT4G37610, Atha__AT5G67480
HOG0002166	NA	NA	NA	4	HOG0002166
HOG0002174	NA	gray	Other	2	Atha__AT4G17530, Atha__AT5G47200
HOG0002176	NA	gray	Other	2	Atha__AT1G71770, Atha__AT1G22760
HOG0002182	NA	gray	Other	2	Atha__AT5G24800
HOG0002184	NA	gray	Other	2	Atha__AT4G02640, Atha__AT3G54620, Atha__AT5G28770
HOG0002188	NA	NA	NA	4	HOG0002188
HOG0002190	NA	Green	Plastid	3	Atha__AT3G49680
HOG0002192	NA	gray	Other	2	Atha__AT1G70520
HOG0002196	NA	gray	Other	2	Atha__AT1G19090, Atha__AT5G40380
HOG0002197	NA	gray	Other	2	Atha__AT1G65620
HOG0002207	NA	gray	Other	2	Atha__AT5G17850, Atha__AT5G17860
HOG0002208	NA	gray	Other	2	Atha__AT1G54115, Atha__AT3G14070
HOG0002214	NA	gray	Other	2	Atha__AT5G65530, Atha__AT5G10520
HOG0002215	NA	gray	Other	2	Atha__AT3G05140, Atha__AT5G18910, Atha__AT5G35960
HOG0002234	NA	gray	Other	2	Atha__AT1G80750
HOG0002235	NA	Green	Plastid	3	Atha__AT3G13580, Atha__AT2G44120, Atha__AT2G01250
HOG0002243	NA	gray	Other	2	Atha__AT2G36840
HOG0002244	NA	gray	Other	2	Atha__AT2G39570
HOG0002252	NA	gray	Other	2	Atha__AT2G27370, Atha__AT3G11550, Atha__AT5G06200, Atha__AT2G36100
HOG0002258	NA	gray	Other	2	Atha__AT2G27040, Atha__AT5G21150
HOG0002260	NA	gray	Other	2	Atha__AT5G67470
HOG0002262	NA	gray	Other	2	Atha__AT5G11320, Atha__AT4G32540
